cluster_id,i,j,distance
0,315,372,0.48718953614092053
1,141,321,0.7781111795136605
2,364,615,0.4416267132668341
3,154,170,0.7841112031795345
4,488,653,0.3049251824560386
5,558,658,0.5280859811260354
6,581,646,0.7410599666699573
7,226,347,0.5081705711624647
8,49,545,0.524832490844066
9,85,211,0.3896659061079083
10,168,384,0.7647814691828162
11,44,569,0.1902931457782554
12,179,456,0.794426331423139
13,204,257,0.44026282173768194
14,429,500,0.8170778145474857
15,508,516,0.7566277019602909
16,426,586,0.4947234189096461
17,496,600,0.6361882387690496
18,629,663,0.3728456258001327
19,202,421,0.3323081975060955
20,70,499,0.31464407828968755
21,563,628,0.4279042371770544
22,267,542,0.6291814045868509
23,462,492,0.8433803214067612
24,101,178,0.6152374082466427
25,47,94,0.7657914413102345
26,1,365,0.6175306305580686
27,93,95,0.28517655274484954
28,332,498,0.46634445170592387
29,620,623,0.2758038872406037
30,398,399,0.12240490556360162
31,604,605,0.26256518271578244
32,328,427,0.687758957476337
33,539,590,0.7927237013496087
34,66,433,0.7164120844116391
35,115,215,0.722843417980268
36,130,386,0.8121493181928179
37,272,642,0.7323449481132255
38,128,438,0.9034840082775365
39,186,306,0.4695668111966659
40,301,603,0.36070499246775156
41,317,525,0.6954481444179732
42,318,608,0.49142449654267195
43,64,501,0.4245926539195235
44,338,391,0.8235645031314307
45,37,647,0.5257713181060477
46,172,638,0.4160664095915
47,16,410,0.5746308583405828
48,194,523,0.5179440875483099
