series_id,start,end,score
0,97,539,0.9801923671795006
1,346,674,1.0
2,50,485,0.9620366399713168
3,93,198,1.0
4,67,281,0.9841759340638772
5,254,699,0.9956700520888176
6,3,790,0.9914593242742668
7,569,682,0.9695731216576017
8,414,525,0.9967106982968349
9,80,632,0.9982984564534654
10,276,467,0.8609131675124798
11,3,97,0.9039288255916103
12,196,286,0.9105871029368273
13,261,628,0.6753666051850742
14,257,375,0.9900233953471871
15,239,321,0.9246884721498979
16,260,348,1.0
17,54,363,0.9554161814165613
18,418,545,0.9457703802168983
19,21,290,0.9767048418350115
20,367,492,0.9880080867229541
21,16,101,0.9832999288642525
22,405,487,0.9842073793953582
23,13,98,0.9918481295852839
24,209,295,0.9888290598663512
25,89,163,0.9368378547199545
26,91,170,0.9556748984516931
27,385,611,0.986531225922235
28,214,570,0.9693280403115245
29,27,58,0.9848998472545343
30,1,203,0.981443897983126
31,53,325,0.9999999999999999
32,12,102,0.968801218760396
33,585,669,0.9961485423501897
34,119,374,0.9941454144686547
35,455,569,0.9734148802152148
36,333,605,1.0
37,28,573,1.0
38,1,584,0.8936176004259865
39,609,674,0.7611235562715314
40,30,767,1.0
41,669,794,0.9820180188702297
42,592,595,1.0
43,607,737,0.21038793324021704
44,27,41,1.0
45,266,476,0.9514641862803247
46,393,656,0.7898427225673648
47,724,764,0.7543282777086339
48,605,724,0.8113050815833523
49,129,656,1.0
50,56,676,1.0
51,221,502,0.871104639417019
52,91,374,0.9867453232580686
53,121,411,0.9615422699355092
54,541,587,0.9934180583887274
55,191,646,0.9978340986179858
56,228,538,1.0
57,97,101,0.9894699396877444
58,99,103,0.9626732743462845
59,235,289,1.0
60,56,60,0.9788251596389906
61,395,689,0.9675369677423724
62,161,237,0.980499527566612
63,20,280,1.0
64,353,410,0.9591680385647047
65,400,613,0.9829087963571009
66,117,763,1.0
67,186,747,0.9523920555496418
68,132,646,0.9800312205213518
69,13,389,0.9867436712627612
70,44,419,1.0
71,101,257,0.9987527618214117
72,607,753,0.9985521299132816
73,330,592,0.9835874663111601
74,356,475,0.9865337932428779
75,595,754,0.8782068605920762
76,158,219,1.0
77,110,711,0.993390038146275
78,367,659,0.8134181031110111
79,59,203,0.9160874364510893
80,442,501,1.0
81,307,372,0.9561157343573446
82,373,618,0.9686857646730876
83,203,579,0.9950410289708326
84,169,595,0.9860382968587357
85,244,572,0.9767940257417584
86,515,593,1.0
87,492,530,0.1078335911384195
88,321,594,0.18938865590291132
89,578,667,0.8553719281883341
90,244,799,0.9352008623879915
91,629,740,0.710082601271266
92,561,771,0.15069458683371958
93,23,716,0.9294700156183852
94,447,590,0.9815023305123735
95,162,714,0.9917918817618099
96,259,527,0.8039570378726536
97,583,749,0.9731376515948361
98,544,676,1.0
99,72,358,1.0
100,1,91,0.10711410196275306
101,614,736,0.9999999999999999
102,477,511,0.24514252311869572
103,279,315,1.0
104,366,561,0.9528318849811811
105,66,72,0.9643854077916968
106,467,688,1.0
107,682,687,1.0
108,37,690,0.5428331763746347
109,79,547,1.0
110,624,634,0.931051407334474
111,52,118,1.0
112,221,304,0.9888711227351966
113,322,374,1.0
114,21,196,0.9576594331448604
115,115,397,0.9197103946560005
116,361,745,0.9965823226040893
117,410,569,0.987102780078015
118,110,670,0.9716864323415102
119,391,669,0.9758233232349546
120,63,191,0.9205925959447779
121,258,696,0.9720849254212919
122,144,403,0.9721926068664595
123,39,177,0.9415852540227077
124,162,425,0.9798563052872761
125,106,208,0.9969279380500118
126,195,393,0.9900773969280271
127,27,319,0.9648328613675458
128,241,328,0.2422686663627565
129,445,633,0.746605506818097
130,687,760,0.9203521551003163
131,304,475,1.0
132,49,355,1.0
133,194,341,0.914775822406876
134,262,645,0.8478538025313279
135,72,353,0.7413139213297538
136,450,475,1.0
137,411,458,1.0
138,181,303,0.8663486673416658
139,432,533,1.0
140,110,509,1.0
141,6,76,0.1028471927195953
142,235,618,0.9802442715897409
143,115,167,1.0
144,181,430,1.0
145,93,219,0.8389450589555905
146,201,238,1.0
147,451,564,0.390576685166832
148,52,745,0.9649967260980656
149,96,286,0.9665135401168754
150,303,329,0.9587904831944742
151,125,656,0.9840847676007298
152,98,486,0.8988757651386874
153,570,615,0.8246670139396307
154,336,338,0.9148789110077407
155,223,357,0.7718049343184754
156,604,726,0.9398979019839855
157,333,535,0.9091660777685564
158,67,145,0.8595510753677696
159,68,238,0.9827642657651978
160,362,491,0.9461867363549099
161,649,705,0.9797761411985317
162,339,600,0.9868996853742301
163,472,552,0.9273804484594421
164,598,602,0.8651111004236005
165,202,625,0.9284083301383405
166,138,579,0.9486663178636237
167,215,642,0.9286870495002928
168,145,579,1.0
169,337,413,0.9771609619617003
170,496,646,0.9449997044300215
171,207,652,0.9189189779598596
172,0,211,0.9704456034405906
173,537,691,0.9631512913905768
174,442,680,1.0
175,576,580,0.9533906302719363
176,208,546,0.9845957701876882
177,542,592,0.9249258235012536
178,200,263,0.7573159294838847
179,514,518,0.9970618007617389
180,547,552,0.9523339743155649
181,38,547,1.0
182,529,534,0.9770690083612484
183,129,134,0.998344020859445
184,113,118,0.9956791392563806
185,86,91,1.0
186,65,315,0.9900738013577822
187,388,792,1.0
188,582,667,0.9773378274579144
189,111,191,0.9912176232011641
190,357,441,0.9756939913789794
191,74,485,0.9842520155332106
192,768,772,1.0
193,155,224,1.0
194,276,312,0.944058054220605
195,504,606,1.0
196,147,650,0.9999999999999998
197,155,570,0.9799591138800278
198,296,377,0.9971632015292218
199,91,270,0.9532644213320357
200,23,393,0.9999999999999999
201,312,634,0.8879124757340431
202,39,148,0.9062295919566569
203,366,735,0.8766887481311165
204,160,644,0.9194439060813026
205,684,716,0.9019243871772902
206,662,691,0.993209940058319
207,489,569,0.9520004103396533
208,504,594,0.9653000216149291
209,354,691,0.9143910541036604
210,131,243,0.9583579300665497
211,327,406,0.9798563017099604
212,158,316,0.9730566167215616
213,229,760,1.0
214,78,208,0.9672442703425332
215,6,71,0.9850979167997124
216,212,431,0.9959302744219398
217,93,241,1.0
218,25,662,0.5307915220151537
219,20,709,0.7188199990634252
220,4,496,0.9999999999999999
221,157,389,0.968454595074337
222,72,81,1.0
223,45,786,1.0
224,163,261,0.31204105090643536
225,338,365,1.0
226,28,442,0.9939677897326666
227,49,76,1.0
228,156,266,1.0
229,57,85,1.0
230,298,326,0.6772250961091241
231,65,397,0.9701090059788257
232,281,504,0.9720399349052112
233,160,386,1.0
234,261,457,1.0
235,622,750,1.0
236,72,509,0.9546104315384073
237,44,574,0.9509108676087185
238,322,456,0.9700401344338706
239,199,335,1.0
240,45,93,0.9974911060817768
241,144,191,0.9759994206502917
242,267,310,1.0
243,178,312,0.9974879972025387
244,88,226,0.9441386133457398
245,13,121,0.9651151840028603
246,37,168,0.9679073289917722
247,292,470,0.990876513704724
248,53,534,0.9882911565794468
249,452,570,1.0
250,428,675,0.9943242728389484
251,279,283,1.0
252,81,312,0.9824539681337732
253,77,227,0.9133565615425728
254,1,570,0.9325845164400266
255,64,418,1.0
256,161,641,0.9907489099173774
257,343,348,0.999262165964747
258,275,731,0.9329472161006476
259,243,346,1.0
260,446,544,0.976131355382566
261,724,749,0.8599378803059887
262,500,773,0.9999999999999998
263,5,213,0.1294341801453619
264,618,654,1.0
265,373,750,0.9999999999999999
266,303,375,0.9949309137740641
267,49,135,0.9515881895605097
268,116,201,0.9165064426504965
269,284,448,0.9776666241925346
270,84,697,1.0
271,760,788,0.20989727973738298
272,650,772,0.2922084904824021
273,96,102,1.0
274,121,127,0.8704781381912958
275,202,660,0.9837701601130141
276,424,684,0.590634193490448
277,17,115,0.8860440951199062
278,107,776,0.9715807940440745
279,552,791,0.9351821523768566
280,123,395,0.9818591075782663
281,189,461,0.9999999999999999
282,563,784,0.9795985756107422
283,195,306,1.0
284,76,184,0.9292934767619621
285,338,543,0.9760479983258015
286,279,591,0.9478822220754196
287,691,790,1.0
288,437,530,0.3276916402933978
289,69,741,0.9658966438644406
290,356,603,0.9703746652412916
291,176,228,1.0
292,72,429,0.9910883843914987
293,336,732,1.0
294,316,594,0.9863025371564853
295,199,623,1.0
296,52,126,0.9948501870569658
297,99,421,0.9745361092729891
298,190,521,0.9855884400716287
299,232,384,0.973231786396069
300,64,367,0.9991373215804904
301,43,426,0.998545315988743
302,161,253,0.9774129591599999
303,131,257,0.9953514082121501
304,86,252,0.9650682786102943
305,306,424,0.9963458975149486
306,65,73,0.9475658325456535
307,165,796,0.9765180745719394
308,2,10,0.997722006606877
309,306,389,0.9842933932895721
310,284,404,0.9875962373451741
311,249,517,0.9637403311791434
312,143,263,0.9794034675837718
313,61,323,0.9820006417892627
314,476,786,0.9994654942729344
315,262,564,1.0
316,368,599,1.0
317,121,539,0.9543955090826973
318,440,447,0.9067127151163806
319,454,459,0.92777193143961
320,146,246,0.9523537416562547
321,36,562,0.9658761074303764
322,620,711,0.9815217253982639
323,169,445,0.9909231804390158
324,252,358,0.9900506592146302
325,5,9,0.9857965360476811
326,61,668,0.9972170068117318
327,548,730,0.9920055996971243
328,550,732,0.9960414863831506
329,92,215,0.958756724031141
330,198,321,0.9746275363837009
331,40,164,0.852957483905928
332,166,294,0.9635854177790227
333,193,320,0.9480551989725731
334,212,341,0.9248838348544962
335,332,718,0.9999999999999999
336,208,213,0.9995858821273459
337,284,644,0.9204003203480899
338,392,424,0.6562556455497525
339,306,485,1.0
340,146,351,1.0
341,332,407,0.9912836030364552
342,57,152,0.9748437063265267
343,319,513,1.0
344,144,243,0.9565877153870989
345,60,561,0.9569621444863072
346,532,609,0.9999999999999999
347,257,331,0.9539243599425921
348,65,182,0.9999999999999998
349,164,295,0.9883563373079098
350,474,508,0.8420832373396789
351,349,697,0.7821524865596067
352,230,352,0.9682172790261282
353,196,321,0.9713948972990777
354,496,624,0.9583569309234747
355,263,716,0.9978746732817994
356,155,566,0.9904363988052753
357,256,357,1.0
358,15,110,0.9986990482373078
359,651,780,0.9493086641156294
360,133,267,0.8078772753756158
361,166,527,1.0
362,79,402,1.0
363,135,777,0.8690868322535349
364,399,516,0.9599954840908537
365,5,119,0.9999999999999999
366,349,784,0.8843183096397225
367,472,617,0.43249336917042597
368,119,666,0.6124977851772521
369,32,545,0.9915380966482157
370,57,555,1.0
371,21,118,0.9990932792619617
372,264,566,0.9943484144774146
373,126,434,1.0
374,117,528,0.9800288419332219
375,115,531,0.9999999999999999
376,524,746,0.9443605320844611
377,630,739,0.9829676580498713
378,59,141,0.9450960331210839
379,187,246,0.9072162391706297
380,652,752,0.8945150871533105
381,77,640,0.9519769941447446
382,213,306,0.9855772462998226
383,126,344,1.0
384,65,335,0.9830945294945259
385,239,344,0.9711580507455572
386,279,388,0.988225607903968
387,91,365,0.9375707800720192
388,226,361,0.9420152926258494
389,77,347,0.9927131901994561
390,671,798,0.9820259022948529
391,86,314,0.9703712417087544
392,516,626,0.9971949604537239
393,69,456,0.982419772868565
394,51,158,0.9992213932807645
395,147,251,0.9850243046352192
396,13,235,0.09539637998409883
397,78,221,1.0
398,226,589,1.0
399,153,515,0.9983239987641574
400,417,752,0.9683333840844536
401,655,737,0.9901619139849237
402,94,349,0.9680865684161126
403,141,398,0.9923620815264675
404,131,693,0.9999999999999999
405,13,460,0.9703017642158114
406,457,509,1.0
407,340,392,0.9940202971428584
408,142,219,0.9622069080595591
409,515,519,0.996913276770804
410,256,260,1.0
411,706,710,0.9990961102902562
412,143,147,0.9999999999999999
413,89,93,0.9999999999999999
414,147,151,0.9942260431349582
415,400,475,0.813792800188873
416,25,458,1.0
417,479,568,1.0
418,357,530,0.9889067695009075
419,28,249,0.9781936266354397
420,371,496,0.9753238293279745
421,24,485,1.0
422,279,464,0.9786357275708422
423,287,764,0.9999999999999998
424,259,654,0.9999999999999999
425,245,298,0.9794814494898366
426,343,524,0.9863779257322212
427,201,467,0.6911921731153677
428,471,613,0.9799427442129841
429,109,226,0.961603890451761
430,115,260,1.0
431,399,405,0.907250716907003
432,225,274,0.9498210004062978
433,59,754,0.987451130074439
434,163,303,0.9648035525129249
435,265,271,0.9727706975098003
436,482,568,0.991597983571907
437,41,136,0.9991539480672037
438,227,318,0.9888723097340008
439,107,118,0.9774115015222028
440,251,341,0.9990504888290901
441,549,642,0.9945743267223496
442,338,429,0.99498278236467
443,498,564,0.9765727934284035
444,277,644,0.9151415159777586
445,173,446,0.9788368634497406
446,277,320,0.7555042220744536
447,135,180,0.6556863918661233
448,99,155,0.9451601167455159
449,69,357,0.9370251913502782
450,329,424,0.9157500614862969
451,387,583,1.0
452,278,788,0.9552610342733323
453,182,237,1.0
454,307,364,0.894253027426826
455,164,168,1.0
456,211,375,1.0
457,129,212,1.0
458,191,678,0.9842938915678966
459,490,731,0.9999999999999999
460,53,780,0.9999999999999999
461,190,517,0.9890965538838846
462,22,115,0.6937460506486406
463,416,644,0.9796806114793808
464,402,412,0.8840140747971786
465,55,82,1.0
466,25,238,0.9350714320103162
467,378,711,0.9636265860294759
468,261,406,0.8515191467384409
469,131,257,0.9823965198091749
470,147,274,0.9783257697722272
471,101,756,0.9887368580127931
472,275,654,0.9910842044652592
473,173,309,0.9834359671456596
474,266,270,1.0
475,52,187,0.9999999999999999
476,105,239,0.9848905573745311
477,175,718,0.9998829632843813
478,142,283,0.9874389274440802
479,302,523,0.9690922447207679
480,20,57,0.7409053030393352
481,289,351,0.983795779687832
482,171,476,1.0
483,164,255,0.9930781043438063
484,50,242,1.0
485,212,702,0.7872444368978476
486,566,660,0.9986845678577217
487,78,665,0.9991598255430927
488,15,109,0.9801485346447
489,53,134,0.8708617580996255
490,354,424,0.9420692919522433
491,740,796,0.19910939325947669
492,330,676,0.8220734937691413
493,89,377,0.7352260989569376
494,375,756,0.9329839436124802
495,62,300,1.0
496,439,565,0.9886962106526734
497,83,349,0.9176236049703257
498,560,689,0.9510715196288072
499,167,291,0.9619301618783359
500,486,609,0.885312713716371
501,535,654,0.8722261697208619
502,698,722,0.8703226824109712
503,68,754,0.4802832539299336
504,32,479,1.0
505,106,192,0.1345427162216295
506,376,626,0.4986561372940807
507,233,236,0.8252550446053756
508,68,446,1.0
509,552,652,1.0
510,255,373,0.9660221006855828
511,213,220,0.9802649832101192
512,154,265,0.93856678923703
513,481,491,0.9516726445670237
514,398,438,0.9899217993613816
515,145,770,0.126922919189704
516,105,767,1.0
517,527,541,1.0
518,261,265,1.0
519,41,422,1.0
520,131,135,0.9961740988864646
521,573,577,0.9832719945831943
522,756,785,0.9574727560749884
523,415,423,1.0
524,692,699,0.954902545936173
525,227,337,0.9886233351852228
526,54,258,0.9913004907612936
527,170,637,0.9860101812185638
528,523,613,0.9933652782188545
529,280,284,0.9976256219769083
530,37,41,1.0
531,94,702,0.9972359134615929
532,103,129,0.7694282428125235
533,184,188,1.0
534,55,410,1.0
535,237,251,0.932266694228626
536,541,679,0.9952807856792456
537,168,364,0.7745416105942533
538,160,289,0.9562171344646205
539,178,596,0.8929256083850549
540,7,379,0.9475459481406405
541,717,787,0.9282142871807392
542,389,482,0.4104265029185397
543,65,569,0.9882697390193855
544,223,419,0.9944990516073352
545,659,757,0.9563206483610441
546,323,416,0.6874601197274756
547,102,195,0.9813679002090655
548,13,594,0.9790771866218815
549,194,410,0.8119429724792886
550,386,391,0.9745185606232125
551,126,317,0.9663613305401367
552,368,462,0.990360092163524
553,52,624,1.0
554,56,561,0.9744378493738649
555,59,711,0.9905815425041843
556,156,252,0.9969462439509242
557,178,374,0.9484935656851179
558,300,557,0.9871932278264443
559,7,10,0.9875072095129558
560,665,743,0.9924307724592659
561,29,420,0.992473075694492
